zone,invalidation,min_drop_pct,max_impulse_bars,max_wait_bars,max_trade_bars,total_trades,win_rate,expectancy,profit_factor,max_drawdown
0.236-0.382,0.618,6.0,80,100,120,33,60.60606060606061,0.43178676602556026,1.3695030915064688,-11.917173588138374
0.236-0.382,0.618,5.0,80,100,120,41,58.536585365853654,0.35679556734441714,1.3521048388143102,-7.450218202901294
0.236-0.382,0.618,5.0,80,60,120,40,60.0,0.35235020692253677,1.3349272051916377,-7.984828187120928
0.236-0.382,0.618,5.0,80,80,120,40,60.0,0.35235020692253677,1.3349272051916377,-7.984828187120928
0.236-0.382,0.618,6.0,80,100,160,33,63.63636363636363,0.3474236186744401,1.285780307890107,-11.5871617867986
0.236-0.382,0.618,5.5,80,100,120,36,58.333333333333336,0.3206107531348244,1.2770765986815347,-11.917173588138374
0.236-0.382,0.618,6.0,80,60,120,33,60.60606060606061,0.3456857888501448,1.2755211336706525,-14.758505834927085
0.236-0.382,0.618,6.0,80,80,120,33,60.60606060606061,0.3456857888501448,1.2755211336706525,-14.758505834927085
0.236-0.382,0.618,5.5,80,60,120,36,58.333333333333336,0.24168485739069354,1.1955307189014008,-14.758505834927085
0.236-0.382,0.618,5.5,80,80,120,36,58.333333333333336,0.24168485739069354,1.1955307189014008,-14.758505834927085
0.236-0.382,0.618,4.5,80,100,120,47,57.446808510638306,0.186683282790037,1.192072105175209,-11.622982355184241
0.236-0.382,0.618,6.0,80,60,160,33,60.60606060606061,0.24890846981227943,1.1896551689785604,-14.838161699249905
0.236-0.382,0.618,6.0,80,80,160,33,60.60606060606061,0.24890846981227943,1.1896551689785604,-14.838161699249905
0.236-0.382,0.618,4.5,80,60,120,46,58.69565217391305,0.1791196588459154,1.1782826358816483,-11.622982355184241
0.236-0.382,0.618,4.5,80,80,120,46,58.69565217391305,0.1791196588459154,1.1782826358816483,-11.622982355184241
0.236-0.382,0.618,6.0,60,100,160,42,64.28571428571429,0.19245036704097812,1.1678057626359142,-12.954940949450137
